analysis_id	contrast_name	reference_group	alternative_group
E-MTAB-6293	SCA2_vs_WT_P1	wild_type_genotype__1_day	ATXN2Q127__1_day
E-MTAB-6293	SCA2_vs_WT_3wk	wild_type_genotype__3_week	ATXN2Q127__3_week
E-MTAB-6293	SCA2_vs_WT_6wk	wild_type_genotype__6_week	ATXN2Q127__6_week
GSE138527	SCA7_vs_WT_40wk	wildtype	SCA7_140Q_5Q_knock_in_Ki
GSE139090	SCA7_vs_WT_12wk	wild_type__12_weeks	fxSCA7_92Q__12_weeks
GSE139090	SCA7_vs_WT_29wk	wild_type__29_weeks	fxSCA7_92Q__29_weeks
GSE271392	SCA7_vs_WT_medulla_P8	Wildtype__Medulla__p8	SCA7_266Q_5Q__Medulla__p8
GSE271392	SCA7_vs_WT_medulla_5wk	Wildtype__Medulla__5_weeks	SCA7_266Q_5Q__Medulla__5_weeks
GSE271392	SCA7_vs_WT_medulla_9wk	Wildtype__Medulla__9_weeks	SCA7_266Q_5Q__Medulla__9_weeks
GSE271392	SCA7_vs_WT_cervical_5wk	Wildtype__Cervical_spinal_cord__5_weeks	SCA7_266Q_5Q__Cervical_spinal_cord__5_weeks
GSE271392	SCA7_vs_WT_cervical_9wk	Wildtype__Cervical_spinal_cord__9_weeks	SCA7_266Q_5Q__Cervical_spinal_cord__9_weeks
GSE102956_paired	APOE4_vs_APOE3_microglia	APOE3__microglia_like_cells	APOE4__microglia_like_cells
GSE102956_single	APOE4_vs_APOE3_astrocytes	APOE3__astrocytes	APOE4__astrocytes
GSE102956_single	APOE4_vs_APOE3_iPSCs	APOE3__iPSCs	APOE4__iPSCs
GSE102956_single	APOE4_vs_APOE3_neurons	APOE3__neuron	APOE4__neuron
GSE140205	APOE4_vs_APOE3_female	APOE3__Female	APOE4__Female
GSE140205	APOE4_vs_APOE3_male	APOE3__Male	APOE4__Male
GSE163857_human	E3E4_vs_E3E3_CTL_female	E3_E3__Healthy_Control__CTL__Female	E3_E4__Healthy_Control__CTL__Female
GSE163857_human	E4E4_vs_E3E3_CTL_female	E3_E3__Healthy_Control__CTL__Female	E4_E4__Healthy_Control__CTL__Female
GSE163857_human	E3E4_vs_E3E3_CTL_male	E3_E3__Healthy_Control__CTL__Male	E3_E4__Healthy_Control__CTL__Male
GSE163857_mouse	E4E4_vs_E3E3_FAD_female	E3_E3__FAD_transgenic__Female	E4_E4__FAD_transgenic__Female
GSE163857_mouse	E4E4_vs_E3E3_FAD_male	E3_E3__FAD_transgenic__Male	E4_E4__FAD_transgenic__Male
GSE163857_mouse	E4E4_vs_E3E3_TR_female	E3_E3__Targeted_Replacement_Control__Female	E4_E4__Targeted_Replacement_Control__Female
GSE234350	APOE4_vs_APOE3_KI_phagocytic	APOE3_KI__Phagocytic_microglia	APOE4_KI__Phagocytic_microglia
GSE234350	APOE4_vs_APOE3_KI_nonphagocytic	APOE3_KI__Non_phagocytic_microglia	APOE4_KI__Non_phagocytic_microglia
GSE234480	APOE4_cKO_vs_APOE4	WT_APOE4	WT_APOE4_cKO
GSE234488	APOEe3e4_vs_APOEe3e3	AD_APOEe3_e3	AD_APOEe3_e4
GSE254205	fAB_vs_untreated_APOE44	APOE_4_4__untreated	APOE_4_4__fAB_treated
GSE254205	GNE_fAB_vs_fAB_APOE44	APOE_4_4__fAB_treated	APOE_4_4__GNE_317_fAB_treated
GSE254205	LDhigh_vs_LDlow_APOE33	APOE_3_3__APOE_3_3_iMG_LD_low__LD_low	APOE_3_3__APOE_3_3_iMG_LD_high__LD_high
GSE254205	LDhigh_vs_LDlow_APOE44	APOE_4_4__APOE_4_4_iMG_LD_low__LD_low	APOE_4_4__APOE_4_4_iMG_LD_high__LD_high
GSE254205	APOE44_vs_APOE33_LDlow	APOE_3_3__APOE_3_3_iMG_LD_low__LD_low	APOE_4_4__APOE_4_4_iMG_LD_low__LD_low
GSE254205	APOE44_vs_APOE33_LDhigh	APOE_3_3__APOE_3_3_iMG_LD_high__LD_high	APOE_4_4__APOE_4_4_iMG_LD_high__LD_high
