sample	bam	group
ERS2075828	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075828/ERS2075828_Aligned.out.bam	wild_type_genotype__6_week
ERS2075829	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075829/ERS2075829_Aligned.out.bam	wild_type_genotype__6_week
ERS2075830	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075830/ERS2075830_Aligned.out.bam	wild_type_genotype__6_week
ERS2075831	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075831/ERS2075831_Aligned.out.bam	wild_type_genotype__6_week
ERS2075832	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075832/ERS2075832_Aligned.out.bam	wild_type_genotype__6_week
ERS2075833	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075833/ERS2075833_Aligned.out.bam	wild_type_genotype__6_week
ERS2075834	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075834/ERS2075834_Aligned.out.bam	wild_type_genotype__6_week
ERS2075835	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075835/ERS2075835_Aligned.out.bam	wild_type_genotype__6_week
ERS2075836	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075836/ERS2075836_Aligned.out.bam	ATXN2Q127__6_week
ERS2075837	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075837/ERS2075837_Aligned.out.bam	ATXN2Q127__6_week
ERS2075838	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075838/ERS2075838_Aligned.out.bam	ATXN2Q127__6_week
ERS2075839	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075839/ERS2075839_Aligned.out.bam	wild_type_genotype__6_week
ERS2075840	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075840/ERS2075840_Aligned.out.bam	ATXN2Q127__6_week
