sample	bam	group
GSM2751137	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751137/GSM2751137_Aligned.out.bam	APOE3__iPSCs
GSM2751138	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751138/GSM2751138_Aligned.out.bam	APOE3__iPSCs
GSM2751139	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751139/GSM2751139_Aligned.out.bam	APOE3__iPSCs
GSM2751140	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751140/GSM2751140_Aligned.out.bam	APOE4__iPSCs
GSM2751141	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751141/GSM2751141_Aligned.out.bam	APOE4__iPSCs
GSM2751142	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751142/GSM2751142_Aligned.out.bam	APOE4__iPSCs
GSM2751143	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751143/GSM2751143_Aligned.out.bam	APOE3__astrocytes
GSM2751144	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751144/GSM2751144_Aligned.out.bam	APOE3__astrocytes
GSM2751145	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751145/GSM2751145_Aligned.out.bam	APOE3__astrocytes
GSM2751146	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751146/GSM2751146_Aligned.out.bam	APOE4__astrocytes
GSM2751147	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751147/GSM2751147_Aligned.out.bam	APOE4__astrocytes
GSM2751148	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751148/GSM2751148_Aligned.out.bam	APOE4__astrocytes
GSM2751157	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751157/GSM2751157_Aligned.out.bam	APOE3__neuron
GSM2751158	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751158/GSM2751158_Aligned.out.bam	APOE3__neuron
GSM2751159	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751159/GSM2751159_Aligned.out.bam	APOE3__neuron
GSM2751160	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751160/GSM2751160_Aligned.out.bam	APOE4__neuron
GSM2751161	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751161/GSM2751161_Aligned.out.bam	APOE4__neuron
GSM2751162	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_single/star/GSM2751162/GSM2751162_Aligned.out.bam	APOE4__neuron
