sample	bam	group
GSM4156637	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156637/GSM4156637_Aligned.out.bam	APOE3__Female
GSM4156638	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156638/GSM4156638_Aligned.out.bam	APOE3__Female
GSM4156639	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156639/GSM4156639_Aligned.out.bam	APOE3__Female
GSM4156640	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156640/GSM4156640_Aligned.out.bam	APOE3__Female
GSM4156641	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156641/GSM4156641_Aligned.out.bam	APOE3__Female
GSM4156642	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156642/GSM4156642_Aligned.out.bam	APOE3__Male
GSM4156643	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156643/GSM4156643_Aligned.out.bam	APOE3__Male
GSM4156644	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156644/GSM4156644_Aligned.out.bam	APOE3__Male
GSM4156645	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156645/GSM4156645_Aligned.out.bam	APOE3__Male
GSM4156646	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156646/GSM4156646_Aligned.out.bam	APOE3__Male
GSM4156647	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156647/GSM4156647_Aligned.out.bam	APOE4__Female
GSM4156648	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156648/GSM4156648_Aligned.out.bam	APOE4__Female
GSM4156649	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156649/GSM4156649_Aligned.out.bam	APOE4__Female
GSM4156650	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156650/GSM4156650_Aligned.out.bam	APOE4__Female
GSM4156651	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156651/GSM4156651_Aligned.out.bam	APOE4__Female
GSM4156652	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156652/GSM4156652_Aligned.out.bam	APOE4__Male
GSM4156653	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156653/GSM4156653_Aligned.out.bam	APOE4__Male
GSM4156654	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156654/GSM4156654_Aligned.out.bam	APOE4__Male
GSM4156655	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156655/GSM4156655_Aligned.out.bam	APOE4__Male
GSM4156656	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE140205/star/GSM4156656/GSM4156656_Aligned.out.bam	APOE4__Male
