sample	bam	group
GSM4988829	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988829/GSM4988829_Aligned.out.bam	E3_E3__Healthy_Control__CTL__Male
GSM4988830	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988830/GSM4988830_Aligned.out.bam	E3_E3__Healthy_Control__CTL__Female
GSM4988831	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988831/GSM4988831_Aligned.out.bam	E3_E4__Healthy_Control__CTL__Male
GSM4988832	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988832/GSM4988832_Aligned.out.bam	E3_E4__Healthy_Control__CTL__Female
GSM4988833	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988833/GSM4988833_Aligned.out.bam	E3_E4__Healthy_Control__CTL__Female
GSM4988834	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988834/GSM4988834_Aligned.out.bam	E3_E3__Healthy_Control__CTL__Male
GSM4988835	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988835/GSM4988835_Aligned.out.bam	E3_E3__Healthy_Control__CTL__Male
GSM4988836	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988836/GSM4988836_Aligned.out.bam	E3_E3__Healthy_Control__Zn__Male
GSM4988837	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988837/GSM4988837_Aligned.out.bam	E3_E3__Healthy_Control__Cd__Female
GSM4988838	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988838/GSM4988838_Aligned.out.bam	E3_E3__Healthy_Control__CTL__Female
GSM4988839	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988839/GSM4988839_Aligned.out.bam	E3_E3__Healthy_Control__CTL__Female
GSM4988840	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988840/GSM4988840_Aligned.out.bam	E3_E3__Healthy_Control__Zn__Female
GSM4988841	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988841/GSM4988841_Aligned.out.bam	E3_E3__Healthy_Control__Cd__Female
GSM4988842	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988842/GSM4988842_Aligned.out.bam	E3_E3__Healthy_Control__CTL__Female
GSM4988843	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988843/GSM4988843_Aligned.out.bam	E3_E3__Healthy_Control__CTL__Female
GSM4988844	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988844/GSM4988844_Aligned.out.bam	E3_E3__Healthy_Control__Zn__Female
GSM4988845	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988845/GSM4988845_Aligned.out.bam	E4_E4__Healthy_Control__Cd__Female
GSM4988846	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988846/GSM4988846_Aligned.out.bam	E4_E4__Healthy_Control__CTL__Female
GSM4988847	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988847/GSM4988847_Aligned.out.bam	E4_E4__Healthy_Control__CTL__Female
GSM4988848	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988848/GSM4988848_Aligned.out.bam	E4_E4__Healthy_Control__Zn__Female
GSM4988849	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988849/GSM4988849_Aligned.out.bam	E3_E4__Healthy_Control__Cd__Male
GSM4988850	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988850/GSM4988850_Aligned.out.bam	E3_E4__Healthy_Control__CTL__Male
GSM4988851	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988851/GSM4988851_Aligned.out.bam	E3_E4__Healthy_Control__CTL__Male
GSM4988852	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_human/star/GSM4988852/GSM4988852_Aligned.out.bam	E3_E4__Healthy_Control__Zn__Male
