sample	bam	group
GSM4988799	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988799/GSM4988799_Aligned.out.bam	E3_E3__Targeted_Replacement_Control__Female
GSM4988800	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988800/GSM4988800_Aligned.out.bam	E3_E3__FAD_transgenic__Female
GSM4988801	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988801/GSM4988801_Aligned.out.bam	E3_E3__Targeted_Replacement_Control__Female
GSM4988802	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988802/GSM4988802_Aligned.out.bam	E3_E3__FAD_transgenic__Female
GSM4988803	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988803/GSM4988803_Aligned.out.bam	E3_E3__FAD_transgenic__Female
GSM4988804	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988804/GSM4988804_Aligned.out.bam	E3_E3__FAD_transgenic__Female
GSM4988805	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988805/GSM4988805_Aligned.out.bam	E4_E4__FAD_transgenic__Female
GSM4988806	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988806/GSM4988806_Aligned.out.bam	E3_E3__FAD_transgenic__Female
GSM4988807	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988807/GSM4988807_Aligned.out.bam	E4_E4__FAD_transgenic__Female
GSM4988808	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988808/GSM4988808_Aligned.out.bam	E4_E4__Targeted_Replacement_Control__Female
GSM4988809	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988809/GSM4988809_Aligned.out.bam	E4_E4__FAD_transgenic__Female
GSM4988810	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988810/GSM4988810_Aligned.out.bam	E4_E4__FAD_transgenic__Female
GSM4988811	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988811/GSM4988811_Aligned.out.bam	E4_E4__Targeted_Replacement_Control__Female
GSM4988812	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988812/GSM4988812_Aligned.out.bam	E4_E4__FAD_transgenic__Female
GSM4988813	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988813/GSM4988813_Aligned.out.bam	E3_E3__Targeted_Replacement_Control__Male
GSM4988814	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988814/GSM4988814_Aligned.out.bam	E4_E4__FAD_transgenic__Male
GSM4988815	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988815/GSM4988815_Aligned.out.bam	E3_E3__FAD_transgenic__Male
GSM4988816	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988816/GSM4988816_Aligned.out.bam	E4_E4__FAD_transgenic__Male
GSM4988817	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988817/GSM4988817_Aligned.out.bam	E4_E4__FAD_transgenic__Male
GSM4988818	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988818/GSM4988818_Aligned.out.bam	E3_E3__FAD_transgenic__Male
GSM4988819	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988819/GSM4988819_Aligned.out.bam	E4_E4__Targeted_Replacement_Control__Male
GSM4988820	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988820/GSM4988820_Aligned.out.bam	E4_E4__Targeted_Replacement_Control__Male
GSM4988821	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988821/GSM4988821_Aligned.out.bam	E3_E3__FAD_transgenic__Male
GSM4988822	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988822/GSM4988822_Aligned.out.bam	E3_E3__FAD_transgenic__Male
GSM4988823	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988823/GSM4988823_Aligned.out.bam	E4_E4__Targeted_Replacement_Control__Male
GSM4988824	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988824/GSM4988824_Aligned.out.bam	E4_E4__FAD_transgenic__Male
GSM4988825	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988825/GSM4988825_Aligned.out.bam	E3_E3__FAD_transgenic__Male
GSM4988826	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988826/GSM4988826_Aligned.out.bam	E3_E3__FAD_transgenic__Male
GSM4988827	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988827/GSM4988827_Aligned.out.bam	E3_E3__FAD_transgenic__Male
GSM4988828	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE163857_mouse/star/GSM4988828/GSM4988828_Aligned.out.bam	E4_E4__FAD_transgenic__Male
