analysis_id	contrast_name	shiba_job	deseq2_job	qc_dependency	counts_dependency
E-MTAB-6293	SCA2_vs_WT_P1	27990057	27990058	27990052	27990053
E-MTAB-6293	SCA2_vs_WT_3wk	27990059	27990060	27990052	27990053
E-MTAB-6293	SCA2_vs_WT_6wk	27990061	27990062	27990052	27990053
GSE138527	SCA7_vs_WT_40wk	27990063	27990064	27990028	27990029
GSE139090	SCA7_vs_WT_12wk	27990065	27990066	27990031	27990032
GSE139090	SCA7_vs_WT_29wk	27990067	27990068	27990031	27990032
GSE102956_paired	APOE4_vs_APOE3_microglia	27990069	27990070	27990023	27990024
GSE102956_single	APOE4_vs_APOE3_astrocytes	27990071	27990072	27990040	27990041
GSE102956_single	APOE4_vs_APOE3_iPSCs	27990073	27990074	27990040	27990041
GSE102956_single	APOE4_vs_APOE3_neurons	27990075	27990076	27990040	27990041
GSE140205	APOE4_vs_APOE3_female	27990077	27990078	27990025	27990026
GSE140205	APOE4_vs_APOE3_male	27990079	27990080	27990025	27990026
GSE163857_human	E3E4_vs_E3E3_CTL_female	27990081	27990082	27990043	27990044
GSE163857_human	E4E4_vs_E3E3_CTL_female	27990083	27990084	27990043	27990044
GSE163857_human	E3E4_vs_E3E3_CTL_male	27990085	27990086	27990043	27990044
GSE163857_mouse	E4E4_vs_E3E3_FAD_female	27990087	27990088	27990046	27990047
GSE163857_mouse	E4E4_vs_E3E3_FAD_male	27990089	27990090	27990046	27990047
GSE163857_mouse	E4E4_vs_E3E3_TR_female	27990091	27990092	27990046	27990047
GSE234350	APOE4_vs_APOE3_KI_phagocytic	27990093	27990094	27990049	27990050
GSE234350	APOE4_vs_APOE3_KI_nonphagocytic	27990095	27990096	27990049	27990050
GSE234488	APOEe3e4_vs_APOEe3e3	27990097	27990098	27990055	27990056
GSE254205	fAB_vs_untreated_APOE44	27990099	27990100	27990034	27990035
GSE254205	GNE_fAB_vs_fAB_APOE44	27990101	27990102	27990034	27990035
GSE254205	LDhigh_vs_LDlow_APOE33	27990103	27990104	27990034	27990035
GSE254205	LDhigh_vs_LDlow_APOE44	27990105	27990106	27990034	27990035
GSE254205	APOE44_vs_APOE33_LDlow	27990107	27990108	27990034	27990035
GSE254205	APOE44_vs_APOE33_LDhigh	27990109	27990110	27990034	27990035
GSE234480	APOE4_cKO_vs_APOE4	completed:27983161	27990111	completed:27983070	completed:27983071
