record_type	analysis_id	contrast_name	qc_job	counts_job	shiba_job	deseq2_job	dependency
base	GSE138527	NA	27995775	27995776	NA	NA	direct
base	GSE163857_mouse	NA	27995777	27995778	NA	NA	afterok:27990045
base	GSE234350	NA	27995779	27995780	NA	NA	afterok:27990048
base	E-MTAB-6293	NA	27995781	27995782	NA	NA	afterok:27990051
base	GSE234488	NA	27995783	27995784	NA	NA	afterok:27990054
contrast	E-MTAB-6293	SCA2_vs_WT_P1	27995781	27995782	27995785	27995786	NA
contrast	E-MTAB-6293	SCA2_vs_WT_3wk	27995781	27995782	27995787	27995788	NA
contrast	E-MTAB-6293	SCA2_vs_WT_6wk	27995781	27995782	27995789	27995790	NA
contrast	GSE138527	SCA7_vs_WT_40wk	27995775	27995776	27995791	27995792	NA
contrast	GSE163857_mouse	E4E4_vs_E3E3_FAD_female	27995777	27995778	27995793	27995794	NA
contrast	GSE163857_mouse	E4E4_vs_E3E3_FAD_male	27995777	27995778	27995795	27995796	NA
contrast	GSE163857_mouse	E4E4_vs_E3E3_TR_female	27995777	27995778	27995797	27995798	NA
contrast	GSE234350	APOE4_vs_APOE3_KI_phagocytic	27995779	27995780	27995799	27995800	NA
contrast	GSE234350	APOE4_vs_APOE3_KI_nonphagocytic	27995779	27995780	27995801	27995802	NA
contrast	GSE234488	APOEe3e4_vs_APOEe3e3	27995783	27995784	27995803	27995804	NA
shiba_rerun	GSE139090	SCA7_vs_WT_12wk	NA	NA	27995805	NA	direct
shiba_rerun	GSE139090	SCA7_vs_WT_29wk	NA	NA	27995806	NA	direct
shiba_rerun	GSE271392	SCA7_vs_WT_medulla_P8	NA	NA	27995807	NA	direct
shiba_rerun	GSE271392	SCA7_vs_WT_medulla_5wk	NA	NA	27995808	NA	direct
shiba_rerun	GSE271392	SCA7_vs_WT_medulla_9wk	NA	NA	27995809	NA	direct
shiba_rerun	GSE271392	SCA7_vs_WT_cervical_5wk	NA	NA	27995810	NA	direct
shiba_rerun	GSE271392	SCA7_vs_WT_cervical_9wk	NA	NA	27995811	NA	direct
shiba_rerun	GSE102956_paired	APOE4_vs_APOE3_microglia	NA	NA	27995812	NA	direct
shiba_rerun	GSE102956_single	APOE4_vs_APOE3_astrocytes	NA	NA	27995813	NA	direct
shiba_rerun	GSE102956_single	APOE4_vs_APOE3_iPSCs	NA	NA	27995814	NA	direct
shiba_rerun	GSE102956_single	APOE4_vs_APOE3_neurons	NA	NA	27995815	NA	direct
shiba_rerun	GSE140205	APOE4_vs_APOE3_female	NA	NA	27995816	NA	direct
shiba_rerun	GSE140205	APOE4_vs_APOE3_male	NA	NA	27995817	NA	direct
shiba_rerun	GSE234480	APOE4_cKO_vs_APOE4	NA	NA	27995818	NA	direct
