analysis_id	download_job	qc_job	counts_job	download_dependency
GSE102956_paired	NA	27990023	27990024	direct_qc_existing_fastq
GSE140205	NA	27990025	27990026	direct_qc_existing_fastq
GSE138527	27990027	27990028	27990029	afterany:27983087
GSE139090	27990030	27990031	27990032	afterany:27990027
GSE254205	27990033	27990034	27990035	afterany:27990030
GSE102956_single	27990036	27990040	27990041	afterany:27990033
GSE163857_human	27990042	27990043	27990044	afterany:27990036
GSE163857_mouse	27990045	27990046	27990047	afterany:27990042
GSE234350	27990048	27990049	27990050	afterany:27990045
E-MTAB-6293	27990051	27990052	27990053	afterany:27990048
GSE234488	27990054	27990055	27990056	afterany:27990051
