analysis_id	download_job	qc_job	counts_job	download_dependency
GSE138527	27983060	27983061	27983062	time_gate_2min
GSE102956_paired	27983063	27983064	27983065	27983060
GSE139090	27983066	27983067	27983068	27983063
GSE234480	27983069	27983070	27983071	27983066
GSE254205	27983072	27983073	27983074	27983069
GSE102956_single	27983075	27983076	27983077	27983072
GSE140205	27983078	27983079	27983080	27983075
GSE163857_human	27983081	27983082	27983083	27983078
GSE163857_mouse	27983084	27983085	27983086	27983081
GSE271392	27983087	27983088	27983089	27983084
GSE234350	27983090	27983091	27983092	27983087
E-MTAB-6293	27983093	27983094	27983095	27983090
GSE234488	27983096	27983097	27983098	27983093
