dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	age	disease	genotype	organism	sex	strain	tissue
E-MTAB-6293	ERS2075828	ERR2237861	ERX2290028	Mus musculus	single	10406X1.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/001/ERR2237861/ERR2237861.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075829	ERR2237862	ERX2290029	Mus musculus	single	10406X10.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/002/ERR2237862/ERR2237862.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075830	ERR2237863	ERX2290030	Mus musculus	single	10406X11.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/003/ERR2237863/ERR2237863.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075831	ERR2237864	ERX2290031	Mus musculus	single	10406X12.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/004/ERR2237864/ERR2237864.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075832	ERR2237865	ERX2290032	Mus musculus	single	10406X13.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/005/ERR2237865/ERR2237865.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075833	ERR2237866	ERX2290033	Mus musculus	single	10406X14.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/006/ERR2237866/ERR2237866.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075834	ERR2237867	ERX2290034	Mus musculus	single	10406X15.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/007/ERR2237867/ERR2237867.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075835	ERR2237868	ERX2290035	Mus musculus	single	10406X16.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/008/ERR2237868/ERR2237868.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075836	ERR2237869	ERX2290036	Mus musculus	single	10406X17.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/009/ERR2237869/ERR2237869.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075837	ERR2237870	ERX2290037	Mus musculus	single	10406X18.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/000/ERR2237870/ERR2237870.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
