dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	cell_type	genotype	passages
GSE102956	GSM2751137	SRR5956447	SRX3114814	Homo sapiens	single	RNA-Seq iPSC APOE3_rep1	iPSC	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956447.sralite.1			"{""cell_type"": ""iPSCs"", ""genotype"": ""APOE3"", ""passages"": ""P32""}"	iPSCs	APOE3	P32
GSE102956	GSM2751138	SRR5956448	SRX3114815	Homo sapiens	single	RNA-Seq iPSC APOE3_rep2	iPSC	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956448.sralite.1			"{""cell_type"": ""iPSCs"", ""genotype"": ""APOE3"", ""passages"": ""P33""}"	iPSCs	APOE3	P33
GSE102956	GSM2751139	SRR5956449	SRX3114816	Homo sapiens	single	RNA-Seq iPSC APOE3_rep3	iPSC	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956449.sralite.1			"{""cell_type"": ""iPSCs"", ""genotype"": ""APOE3"", ""passages"": ""P34""}"	iPSCs	APOE3	P34
GSE102956	GSM2751140	SRR5956450	SRX3114817	Homo sapiens	single	RNA-Seq iPSC APOE4 rep1	iPSC	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956450.sralite.1			"{""cell_type"": ""iPSCs"", ""genotype"": ""APOE4"", ""passages"": ""P37""}"	iPSCs	APOE4	P37
GSE102956	GSM2751141	SRR5956451	SRX3114818	Homo sapiens	single	RNA-Seq iPSC APOE4 rep2	iPSC	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956451.sralite.1			"{""cell_type"": ""iPSCs"", ""genotype"": ""APOE4"", ""passages"": ""P38""}"	iPSCs	APOE4	P38
GSE102956	GSM2751142	SRR5956452	SRX3114819	Homo sapiens	single	RNA-Seq iPSC APOE4 rep3	iPSC	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956452.sralite.1			"{""cell_type"": ""iPSCs"", ""genotype"": ""APOE4"", ""passages"": ""P39""}"	iPSCs	APOE4	P39
GSE102956	GSM2751143	SRR5956453	SRX3114820	Homo sapiens	single	RNA-Seq AST APOE3_rep1	iPSC-derived astrocytes	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956453.sralite.1			"{""cell_type"": ""astrocytes"", ""genotype"": ""APOE3"", ""passages"": ""P4""}"	astrocytes	APOE3	P4
GSE102956	GSM2751144	SRR5956454	SRX3114821	Homo sapiens	single	RNA-Seq AST APOE3_rep2	iPSC-derived astrocytes	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956454.sralite.1			"{""cell_type"": ""astrocytes"", ""genotype"": ""APOE3"", ""passages"": ""P4""}"	astrocytes	APOE3	P4
GSE102956	GSM2751145	SRR5956455	SRX3114822	Homo sapiens	single	RNA-Seq AST APOE3_rep3	iPSC-derived astrocytes	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956455.sralite.1			"{""cell_type"": ""astrocytes"", ""genotype"": ""APOE3"", ""passages"": ""P4""}"	astrocytes	APOE3	P4
GSE102956	GSM2751146	SRR5956456	SRX3114823	Homo sapiens	single	RNA-Seq AST APOE4 rep1	iPSC-derived astrocytes	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956456.sralite.1			"{""cell_type"": ""astrocytes"", ""genotype"": ""APOE4"", ""passages"": ""P4""}"	astrocytes	APOE4	P4
