dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	age	genotype	pool
GSE139090	GSM4130767	SRR10310286	SRX7021542	Mus musculus	single	WTQ_12wk_3mice_L2409	cerebellum	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR010/310/SRR10310286.sralite.1			"{""age"": ""12 weeks"", ""genotype"": ""wild type"", ""pool"": ""3 mice""}"	12 weeks	wild type	3 mice
GSE139090	GSM4130768	SRR10310287	SRX7021543	Mus musculus	single	WTQ_12wk_3mice_L2410	cerebellum	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR010/310/SRR10310287.sralite.1			"{""age"": ""12 weeks"", ""genotype"": ""wild type"", ""pool"": ""3 mice""}"	12 weeks	wild type	3 mice
GSE139090	GSM4130769	SRR10310288	SRX7021544	Mus musculus	single	WTQ_12wk_3mice_L2415	cerebellum	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR010/310/SRR10310288.sralite.1			"{""age"": ""12 weeks"", ""genotype"": ""wild type"", ""pool"": ""3 mice""}"	12 weeks	wild type	3 mice
GSE139090	GSM4130770	SRR10310289	SRX7021545	Mus musculus	single	WTQ_29wk_3mice_L2358	cerebellum	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR010/310/SRR10310289.sralite.1			"{""age"": ""29 weeks"", ""genotype"": ""wild type"", ""pool"": ""3 mice""}"	29 weeks	wild type	3 mice
GSE139090	GSM4130771	SRR10310290	SRX7021546	Mus musculus	single	WTQ_29wk_3mice_L2359	cerebellum	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR010/310/SRR10310290.sralite.1			"{""age"": ""29 weeks"", ""genotype"": ""wild type"", ""pool"": ""3 mice""}"	29 weeks	wild type	3 mice
GSE139090	GSM4130772	SRR10310291	SRX7021547	Mus musculus	single	WTQ_29wk_3mice_L2362	cerebellum	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR010/310/SRR10310291.sralite.1			"{""age"": ""29 weeks"", ""genotype"": ""wild type"", ""pool"": ""3 mice""}"	29 weeks	wild type	3 mice
GSE139090	GSM4130773	SRR10310292	SRX7021548	Mus musculus	single	92Q_12wk_3mice_L2412	cerebellum	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR010/310/SRR10310292.sralite.1			"{""age"": ""12 weeks"", ""genotype"": ""fxSCA7 92Q"", ""pool"": ""3 mice""}"	12 weeks	fxSCA7 92Q	3 mice
GSE139090	GSM4130774	SRR10310293	SRX7021549	Mus musculus	single	92Q_12wk_3mice_L2413	cerebellum	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/310/SRR10310293.sralite.1			"{""age"": ""12 weeks"", ""genotype"": ""fxSCA7 92Q"", ""pool"": ""3 mice""}"	12 weeks	fxSCA7 92Q	3 mice
GSE139090	GSM4130775	SRR10310294	SRX7021550	Mus musculus	single	92Q_12wk_3mice_L2416	cerebellum	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR010/310/SRR10310294.sralite.1			"{""age"": ""12 weeks"", ""genotype"": ""fxSCA7 92Q"", ""pool"": ""3 mice""}"	12 weeks	fxSCA7 92Q	3 mice
GSE139090	GSM4130776	SRR10310295	SRX7021551	Mus musculus	single	92Q_29wk_3mice_L2312	cerebellum	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR010/310/SRR10310295.sralite.1			"{""age"": ""29 weeks"", ""genotype"": ""fxSCA7 92Q"", ""pool"": ""3 mice""}"	29 weeks	fxSCA7 92Q	3 mice
GSE139090	GSM4130777	SRR10310296	SRX7021552	Mus musculus	single	92Q_29wk_3mice_L2361	cerebellum	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1216/SRR010/310/SRR10310296.sralite.1			"{""age"": ""29 weeks"", ""genotype"": ""fxSCA7 92Q"", ""pool"": ""3 mice""}"	29 weeks	fxSCA7 92Q	3 mice
GSE139090	GSM4130778	SRR10310297	SRX7021553	Mus musculus	single	92Q_29wk_3mice_L2363	cerebellum	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1216/SRR010/310/SRR10310297.sralite.1			"{""age"": ""29 weeks"", ""genotype"": ""fxSCA7 92Q"", ""pool"": ""3 mice""}"	29 weeks	fxSCA7 92Q	3 mice
