dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	age	genotype	sex	strain	tissue
GSE140205	GSM4156637	SRR10428411	SRX7124462	Mus musculus	paired	S144	Hippocampus	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1216/SRR010/428/SRR10428411.sralite.1			"{""age"": ""16m"", ""genotype"": ""APOE3"", ""sex"": ""Female"", ""strain"": ""C57BL/6"", ""tissue"": ""Hippocampus""}"	16m	APOE3	Female	C57BL/6	Hippocampus
GSE140205	GSM4156638	SRR10428412	SRX7124463	Mus musculus	paired	S145	Hippocampus	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/428/SRR10428412.sralite.1			"{""age"": ""16m"", ""genotype"": ""APOE3"", ""sex"": ""Female"", ""strain"": ""C57BL/6"", ""tissue"": ""Hippocampus""}"	16m	APOE3	Female	C57BL/6	Hippocampus
GSE140205	GSM4156639	SRR10428413	SRX7124464	Mus musculus	paired	S146	Hippocampus	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1216/SRR010/428/SRR10428413.sralite.1			"{""age"": ""16m"", ""genotype"": ""APOE3"", ""sex"": ""Female"", ""strain"": ""C57BL/6"", ""tissue"": ""Hippocampus""}"	16m	APOE3	Female	C57BL/6	Hippocampus
GSE140205	GSM4156640	SRR10428414	SRX7124465	Mus musculus	paired	S147	Hippocampus	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR010/428/SRR10428414.sralite.1			"{""age"": ""16m"", ""genotype"": ""APOE3"", ""sex"": ""Female"", ""strain"": ""C57BL/6"", ""tissue"": ""Hippocampus""}"	16m	APOE3	Female	C57BL/6	Hippocampus
GSE140205	GSM4156641	SRR10428415	SRX7124466	Mus musculus	paired	S148	Hippocampus	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1216/SRR010/428/SRR10428415.sralite.1			"{""age"": ""16m"", ""genotype"": ""APOE3"", ""sex"": ""Female"", ""strain"": ""C57BL/6"", ""tissue"": ""Hippocampus""}"	16m	APOE3	Female	C57BL/6	Hippocampus
GSE140205	GSM4156642	SRR10428416	SRX7124467	Mus musculus	paired	S154	Hippocampus	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/428/SRR10428416.sralite.1			"{""age"": ""16m"", ""genotype"": ""APOE3"", ""sex"": ""Male"", ""strain"": ""C57BL/6"", ""tissue"": ""Hippocampus""}"	16m	APOE3	Male	C57BL/6	Hippocampus
GSE140205	GSM4156643	SRR10428417	SRX7124468	Mus musculus	paired	S155	Hippocampus	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1216/SRR010/428/SRR10428417.sralite.1			"{""age"": ""16m"", ""genotype"": ""APOE3"", ""sex"": ""Male"", ""strain"": ""C57BL/6"", ""tissue"": ""Hippocampus""}"	16m	APOE3	Male	C57BL/6	Hippocampus
GSE140205	GSM4156644	SRR10428418	SRX7124469	Mus musculus	paired	S156	Hippocampus	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR010/428/SRR10428418.sralite.1			"{""age"": ""16m"", ""genotype"": ""APOE3"", ""sex"": ""Male"", ""strain"": ""C57BL/6"", ""tissue"": ""Hippocampus""}"	16m	APOE3	Male	C57BL/6	Hippocampus
GSE140205	GSM4156645	SRR10428419	SRX7124470	Mus musculus	paired	S157	Hippocampus	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/428/SRR10428419.sralite.1			"{""age"": ""16m"", ""genotype"": ""APOE3"", ""sex"": ""Male"", ""strain"": ""C57BL/6"", ""tissue"": ""Hippocampus""}"	16m	APOE3	Male	C57BL/6	Hippocampus
GSE140205	GSM4156646	SRR10428420	SRX7124471	Mus musculus	paired	S158	Hippocampus	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/428/SRR10428420.sralite.1			"{""age"": ""16m"", ""genotype"": ""APOE3"", ""sex"": ""Male"", ""strain"": ""C57BL/6"", ""tissue"": ""Hippocampus""}"	16m	APOE3	Male	C57BL/6	Hippocampus
