dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	background	batch	cell_type	genotype	sex	treatment
GSE163857	GSM4988799	SRR13306413	SRX9734412	Mus musculus	single	F0_A9_mouse_E3/E3_TR_microglia	mouse_E3/E3_TR_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13306/SRR13306413/SRR13306413.lite.1			"{""background"": ""Targeted Replacement Control"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Female""}"	Targeted Replacement Control	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Female	
GSE163857	GSM4988800	SRR13306414	SRX9734413	Mus musculus	single	F13_C9_mouse_E3/E3_FAD_microglia	mouse_E3/E3_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13306/SRR13306414/SRR13306414.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Female""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Female	
GSE163857	GSM4988801	SRR13306415	SRX9734414	Mus musculus	single	F1_B9_mouse_E3/E3_TR_microglia	mouse_E3/E3_TR_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13306/SRR13306415/SRR13306415.lite.1			"{""background"": ""Targeted Replacement Control"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Female""}"	Targeted Replacement Control	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Female	
GSE163857	GSM4988802	SRR13306416	SRX9734418	Mus musculus	single	F26_G9_mouse_E3/E3_FAD_microglia	mouse_E3/E3_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13306/SRR13306416/SRR13306416.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Female""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Female	
GSE163857	GSM4988803	SRR13306417	SRX9734419	Mus musculus	single	F2_D9_mouse_E3/E3_FAD_microglia	mouse_E3/E3_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13306/SRR13306417/SRR13306417.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Female""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Female	
GSE163857	GSM4988804	SRR13306418	SRX9734420	Mus musculus	single	F4_F9_mouse_E3/E3_FAD_microglia	mouse_E3/E3_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13306/SRR13306418/SRR13306418.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Female""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Female	
GSE163857	GSM4988805	SRR13306419	SRX9734421	Mus musculus	single	F59_D11_mouse_E4/E4_FAD_microglia	mouse_E4/E4_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13306/SRR13306419/SRR13306419.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Female""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Female	
GSE163857	GSM4988806	SRR13306420	SRX9734422	Mus musculus	single	F5_E9_mouse_E3/E3_FAD_microglia	mouse_E3/E3_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13306/SRR13306420/SRR13306420.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Female""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Female	
GSE163857	GSM4988807	SRR13306421	SRX9734423	Mus musculus	single	F7_C11_mouse_E4/E4_FAD_microglia	mouse_E4/E4_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13306/SRR13306421/SRR13306421.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Female""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Female	
GSE163857	GSM4988808	SRR13306422	SRX9734424	Mus musculus	single	F91_H10_mouse_E4/E4_TR_microglia	mouse_E4/E4_TR_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13306/SRR13306422/SRR13306422.lite.1			"{""background"": ""Targeted Replacement Control"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Female""}"	Targeted Replacement Control	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Female	
