dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	cell_type	genotype	sex
GSE234480	GSM7469333	SRR24877146	SRX20640979	Mus musculus	paired	WT:APOE4, biol rep 1	Astrocytes	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877146/SRR24877146.lite.1			"{""cell_type"": ""Astrocytes"", ""genotype"": ""WT:APOE4"", ""sex"": ""Male""}"	Astrocytes	WT:APOE4	Male
GSE234480	GSM7469333	SRR24877147	SRX20640979	Mus musculus	paired	WT:APOE4, biol rep 1	Astrocytes	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877147/SRR24877147.lite.1			"{""cell_type"": ""Astrocytes"", ""genotype"": ""WT:APOE4"", ""sex"": ""Male""}"	Astrocytes	WT:APOE4	Male
GSE234480	GSM7469334	SRR24877144	SRX20640980	Mus musculus	paired	WT:APOE4, biol rep 2	Astrocytes	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877144/SRR24877144.lite.1			"{""cell_type"": ""Astrocytes"", ""genotype"": ""WT:APOE4"", ""sex"": ""Male""}"	Astrocytes	WT:APOE4	Male
GSE234480	GSM7469334	SRR24877145	SRX20640980	Mus musculus	paired	WT:APOE4, biol rep 2	Astrocytes	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877145/SRR24877145.lite.1			"{""cell_type"": ""Astrocytes"", ""genotype"": ""WT:APOE4"", ""sex"": ""Male""}"	Astrocytes	WT:APOE4	Male
GSE234480	GSM7469335	SRR24877142	SRX20640981	Mus musculus	paired	WT:APOE4, biol rep 3	Astrocytes	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877142/SRR24877142.lite.1			"{""cell_type"": ""Astrocytes"", ""genotype"": ""WT:APOE4"", ""sex"": ""Male""}"	Astrocytes	WT:APOE4	Male
GSE234480	GSM7469335	SRR24877143	SRX20640981	Mus musculus	paired	WT:APOE4, biol rep 3	Astrocytes	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877143/SRR24877143.lite.1			"{""cell_type"": ""Astrocytes"", ""genotype"": ""WT:APOE4"", ""sex"": ""Male""}"	Astrocytes	WT:APOE4	Male
GSE234480	GSM7469336	SRR24877140	SRX20640982	Mus musculus	paired	WT:APOE4, biol rep 4	Astrocytes	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877140/SRR24877140.lite.1			"{""cell_type"": ""Astrocytes"", ""genotype"": ""WT:APOE4"", ""sex"": ""Male""}"	Astrocytes	WT:APOE4	Male
GSE234480	GSM7469336	SRR24877141	SRX20640982	Mus musculus	paired	WT:APOE4, biol rep 4	Astrocytes	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877141/SRR24877141.lite.1			"{""cell_type"": ""Astrocytes"", ""genotype"": ""WT:APOE4"", ""sex"": ""Male""}"	Astrocytes	WT:APOE4	Male
GSE234480	GSM7469337	SRR24877138	SRX20640983	Mus musculus	paired	WT:APOE4, biol rep 5	Astrocytes	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877138/SRR24877138.lite.1			"{""cell_type"": ""Astrocytes"", ""genotype"": ""WT:APOE4"", ""sex"": ""Male""}"	Astrocytes	WT:APOE4	Male
GSE234480	GSM7469337	SRR24877139	SRX20640983	Mus musculus	paired	WT:APOE4, biol rep 5	Astrocytes	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877139/SRR24877139.lite.1			"{""cell_type"": ""Astrocytes"", ""genotype"": ""WT:APOE4"", ""sex"": ""Male""}"	Astrocytes	WT:APOE4	Male
