dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	age	cell_type	genotype	sex	tissue
GSE234488	GSM7469438	SRR24877377	SRX20641085	Homo sapiens	paired	AD:APOEε3/ε3, male, rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877377/SRR24877377.lite.1			"{""age"": ""67"", ""cell_type"": ""whole tissue"", ""genotype"": ""AD:APOEe3/e3"", ""sex"": ""Male"", ""tissue"": ""brain""}"	67	whole tissue	AD:APOEe3/e3	Male	brain
GSE234488	GSM7469438	SRR24877378	SRX20641085	Homo sapiens	paired	AD:APOEε3/ε3, male, rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877378/SRR24877378.lite.1			"{""age"": ""67"", ""cell_type"": ""whole tissue"", ""genotype"": ""AD:APOEe3/e3"", ""sex"": ""Male"", ""tissue"": ""brain""}"	67	whole tissue	AD:APOEe3/e3	Male	brain
GSE234488	GSM7469438	SRR24877379	SRX20641085	Homo sapiens	paired	AD:APOEε3/ε3, male, rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877379/SRR24877379.lite.1			"{""age"": ""67"", ""cell_type"": ""whole tissue"", ""genotype"": ""AD:APOEe3/e3"", ""sex"": ""Male"", ""tissue"": ""brain""}"	67	whole tissue	AD:APOEe3/e3	Male	brain
GSE234488	GSM7469438	SRR24877380	SRX20641085	Homo sapiens	paired	AD:APOEε3/ε3, male, rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877380/SRR24877380.lite.1			"{""age"": ""67"", ""cell_type"": ""whole tissue"", ""genotype"": ""AD:APOEe3/e3"", ""sex"": ""Male"", ""tissue"": ""brain""}"	67	whole tissue	AD:APOEe3/e3	Male	brain
GSE234488	GSM7469439	SRR24877373	SRX20641086	Homo sapiens	paired	AD:APOEε3/ε3, male, rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877373/SRR24877373.lite.1			"{""age"": ""73"", ""cell_type"": ""whole tissue"", ""genotype"": ""AD:APOEe3/e3"", ""sex"": ""Male"", ""tissue"": ""brain""}"	73	whole tissue	AD:APOEe3/e3	Male	brain
GSE234488	GSM7469439	SRR24877374	SRX20641086	Homo sapiens	paired	AD:APOEε3/ε3, male, rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877374/SRR24877374.lite.1			"{""age"": ""73"", ""cell_type"": ""whole tissue"", ""genotype"": ""AD:APOEe3/e3"", ""sex"": ""Male"", ""tissue"": ""brain""}"	73	whole tissue	AD:APOEe3/e3	Male	brain
GSE234488	GSM7469439	SRR24877375	SRX20641086	Homo sapiens	paired	AD:APOEε3/ε3, male, rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877375/SRR24877375.lite.1			"{""age"": ""73"", ""cell_type"": ""whole tissue"", ""genotype"": ""AD:APOEe3/e3"", ""sex"": ""Male"", ""tissue"": ""brain""}"	73	whole tissue	AD:APOEe3/e3	Male	brain
GSE234488	GSM7469439	SRR24877376	SRX20641086	Homo sapiens	paired	AD:APOEε3/ε3, male, rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877376/SRR24877376.lite.1			"{""age"": ""73"", ""cell_type"": ""whole tissue"", ""genotype"": ""AD:APOEe3/e3"", ""sex"": ""Male"", ""tissue"": ""brain""}"	73	whole tissue	AD:APOEe3/e3	Male	brain
GSE234488	GSM7469440	SRR24877369	SRX20641087	Homo sapiens	paired	AD:APOEε3/ε3, male, rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877369/SRR24877369.lite.1			"{""age"": ""89"", ""cell_type"": ""whole tissue"", ""genotype"": ""AD:APOEe3/e3"", ""sex"": ""Male"", ""tissue"": ""brain""}"	89	whole tissue	AD:APOEe3/e3	Male	brain
GSE234488	GSM7469440	SRR24877370	SRX20641087	Homo sapiens	paired	AD:APOEε3/ε3, male, rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24877/SRR24877370/SRR24877370.lite.1			"{""age"": ""89"", ""cell_type"": ""whole tissue"", ""genotype"": ""AD:APOEe3/e3"", ""sex"": ""Male"", ""tissue"": ""brain""}"	89	whole tissue	AD:APOEe3/e3	Male	brain
