dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	cell_line	cell_type	genotype	treatment
GSE254205	GSM8035914	SRR27726114	SRX23392090	Homo sapiens	paired	NT1 Untreated APOE 4/4 iMG PE  [RNA-seq]	iMG	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR027/27726/SRR27726114/SRR27726114.lite.1			"{""cell_line"": ""iMG"", ""cell_type"": ""iMicroglia"", ""genotype"": ""APOE 4/4"", ""treatment"": ""untreated""}"	iMG	iMicroglia	APOE 4/4	untreated
GSE254205	GSM8035915	SRR27726113	SRX23392091	Homo sapiens	paired	NT2 Untreated APOE 4/4 iMG PE  [RNA-seq]	iMG	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR027/27726/SRR27726113/SRR27726113.lite.1			"{""cell_line"": ""iMG"", ""cell_type"": ""iMicroglia"", ""genotype"": ""APOE 4/4"", ""treatment"": ""untreated""}"	iMG	iMicroglia	APOE 4/4	untreated
GSE254205	GSM8035916	SRR27726112	SRX23392092	Homo sapiens	paired	NT3 Untreated APOE 4/4 iMG PE  [RNA-seq]	iMG	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR027/27726/SRR27726112/SRR27726112.lite.1			"{""cell_line"": ""iMG"", ""cell_type"": ""iMicroglia"", ""genotype"": ""APOE 4/4"", ""treatment"": ""untreated""}"	iMG	iMicroglia	APOE 4/4	untreated
GSE254205	GSM8035917	SRR27726181	SRX23392023	Homo sapiens	paired	AB1 fAB treated APOE 4/4 iMG PE  [RNA-seq]	iMG	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR027/27726/SRR27726181/SRR27726181.lite.1			"{""cell_line"": ""iMG"", ""cell_type"": ""iMicroglia"", ""genotype"": ""APOE 4/4"", ""treatment"": ""fAB treated""}"	iMG	iMicroglia	APOE 4/4	fAB treated
GSE254205	GSM8035918	SRR27726180	SRX23392024	Homo sapiens	paired	AB2 fAB treated APOE 4/4 iMG PE  [RNA-seq]	iMG	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR027/27726/SRR27726180/SRR27726180.lite.1			"{""cell_line"": ""iMG"", ""cell_type"": ""iMicroglia"", ""genotype"": ""APOE 4/4"", ""treatment"": ""fAB treated""}"	iMG	iMicroglia	APOE 4/4	fAB treated
GSE254205	GSM8035919	SRR27726179	SRX23392025	Homo sapiens	paired	AB3 fAB treated APOE 4/4 iMG PE  [RNA-seq]	iMG	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR027/27726/SRR27726179/SRR27726179.lite.1			"{""cell_line"": ""iMG"", ""cell_type"": ""iMicroglia"", ""genotype"": ""APOE 4/4"", ""treatment"": ""fAB treated""}"	iMG	iMicroglia	APOE 4/4	fAB treated
GSE254205	GSM8035920	SRR27726178	SRX23392026	Homo sapiens	paired	AB_GNE1 GNE-317, fAB treated APOE 4/4 iMG PE  [RNA-seq]	iMG	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR027/27726/SRR27726178/SRR27726178.lite.1			"{""cell_line"": ""iMG"", ""cell_type"": ""iMicroglia"", ""genotype"": ""APOE 4/4"", ""treatment"": ""GNE-317, fAB treated""}"	iMG	iMicroglia	APOE 4/4	GNE-317, fAB treated
GSE254205	GSM8035921	SRR27726177	SRX23392027	Homo sapiens	paired	AB_GNE2 GNE-317, fAB treated APOE 4/4 iMG PE  [RNA-seq]	iMG	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR027/27726/SRR27726177/SRR27726177.lite.1			"{""cell_line"": ""iMG"", ""cell_type"": ""iMicroglia"", ""genotype"": ""APOE 4/4"", ""treatment"": ""GNE-317, fAB treated""}"	iMG	iMicroglia	APOE 4/4	GNE-317, fAB treated
GSE254205	GSM8035922	SRR27726176	SRX23392028	Homo sapiens	paired	AB_GNE3 GNE-317, fAB treated APOE 4/4 iMG PE [RNA-seq]	iMG	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR027/27726/SRR27726176/SRR27726176.lite.1			"{""cell_line"": ""iMG"", ""cell_type"": ""iMicroglia"", ""genotype"": ""APOE 4/4"", ""treatment"": ""GNE-317, fAB treated""}"	iMG	iMicroglia	APOE 4/4	GNE-317, fAB treated
GSE254205	GSM8035923	SRR27726175	SRX23392029	Homo sapiens	paired	APOE 3/3 iMG LD low PE 1 [RNA-seq]	iMG	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR027/27726/SRR27726175/SRR27726175.lite.1			"{""cell_line"": ""iMG"", ""cell_type"": ""iMicroglia"", ""genotype"": ""APOE 3/3"", ""treatment"": ""APOE 3/3 iMG LD low""}"	iMG	iMicroglia	APOE 3/3	APOE 3/3 iMG LD low
