dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	age	genotype	tissue
GSE271392	GSM8376044	SRR29690411	SRX25193443	Mus musculus	paired	Cervical_9wk_WT_1	Cervical spinal cord	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR029/29690/SRR29690411/SRR29690411.lite.1			"{""age"": ""9 weeks"", ""genotype"": ""Wildtype"", ""tissue"": ""Cervical spinal cord""}"	9 weeks	Wildtype	Cervical spinal cord
GSE271392	GSM8376045	SRR29690410	SRX25193444	Mus musculus	paired	Medulla_9wk_WT_1	Medulla	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR029/29690/SRR29690410/SRR29690410.lite.1			"{""age"": ""9 weeks"", ""genotype"": ""Wildtype"", ""tissue"": ""Medulla""}"	9 weeks	Wildtype	Medulla
GSE271392	GSM8376046	SRR29690409	SRX25193445	Mus musculus	paired	Cervical_9wk_SCA7_1	Cervical spinal cord	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR029/29690/SRR29690409/SRR29690409.lite.1			"{""age"": ""9 weeks"", ""genotype"": ""SCA7 266Q/5Q"", ""tissue"": ""Cervical spinal cord""}"	9 weeks	SCA7 266Q/5Q	Cervical spinal cord
GSE271392	GSM8376047	SRR29690408	SRX25193446	Mus musculus	paired	Medulla_9wk_SCA7_1	Medulla	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR029/29690/SRR29690408/SRR29690408.lite.1			"{""age"": ""9 weeks"", ""genotype"": ""SCA7 266Q/5Q"", ""tissue"": ""Medulla""}"	9 weeks	SCA7 266Q/5Q	Medulla
GSE271392	GSM8376048	SRR29690407	SRX25193447	Mus musculus	paired	Cervical_9wk_WT_2	Cervical spinal cord	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR029/29690/SRR29690407/SRR29690407.lite.1			"{""age"": ""9 weeks"", ""genotype"": ""Wildtype"", ""tissue"": ""Cervical spinal cord""}"	9 weeks	Wildtype	Cervical spinal cord
GSE271392	GSM8376049	SRR29690406	SRX25193448	Mus musculus	paired	Medulla_9wk_WT_2	Medulla	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR029/29690/SRR29690406/SRR29690406.lite.1			"{""age"": ""9 weeks"", ""genotype"": ""Wildtype"", ""tissue"": ""Medulla""}"	9 weeks	Wildtype	Medulla
GSE271392	GSM8376050	SRR29690405	SRX25193449	Mus musculus	paired	Cervical_9wk_SCA7_2	Cervical spinal cord	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR029/29690/SRR29690405/SRR29690405.lite.1			"{""age"": ""9 weeks"", ""genotype"": ""SCA7 266Q/5Q"", ""tissue"": ""Cervical spinal cord""}"	9 weeks	SCA7 266Q/5Q	Cervical spinal cord
GSE271392	GSM8376051	SRR29690404	SRX25193450	Mus musculus	paired	Medulla_9wk_SCA7_2	Medulla	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR029/29690/SRR29690404/SRR29690404.lite.1			"{""age"": ""9 weeks"", ""genotype"": ""SCA7 266Q/5Q"", ""tissue"": ""Medulla""}"	9 weeks	SCA7 266Q/5Q	Medulla
GSE271392	GSM8376052	SRR29690403	SRX25193451	Mus musculus	paired	Cervical_9wk_SCA7_3	Cervical spinal cord	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR029/29690/SRR29690403/SRR29690403.lite.1			"{""age"": ""9 weeks"", ""genotype"": ""SCA7 266Q/5Q"", ""tissue"": ""Cervical spinal cord""}"	9 weeks	SCA7 266Q/5Q	Cervical spinal cord
GSE271392	GSM8376053	SRR29690402	SRX25193452	Mus musculus	paired	Medulla_9wk_SCA7_3	Medulla	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR029/29690/SRR29690402/SRR29690402.lite.1			"{""age"": ""9 weeks"", ""genotype"": ""SCA7 266Q/5Q"", ""tissue"": ""Medulla""}"	9 weeks	SCA7 266Q/5Q	Medulla
GSE271392	GSM8376054	SRR29690401	SRX25193453	Mus musculus	paired	Cervical_9wk_WT_3	Cervical spinal cord	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR029/29690/SRR29690401/SRR29690401.lite.1			"{""age"": ""9 weeks"", ""genotype"": ""Wildtype"", ""tissue"": ""Cervical spinal cord""}"	9 weeks	Wildtype	Cervical spinal cord
GSE271392	GSM8376055	SRR29690400	SRX25193454	Mus musculus	paired	Medulla_9wk_WT_3	Medulla	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR029/29690/SRR29690400/SRR29690400.lite.1			"{""age"": ""9 weeks"", ""genotype"": ""Wildtype"", ""tissue"": ""Medulla""}"	9 weeks	Wildtype	Medulla
GSE271392	GSM8376056	SRR29690399	SRX25193455	Mus musculus	paired	Cervical_9wk_SCA7_4	Cervical spinal cord	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR029/29690/SRR29690399/SRR29690399.lite.1			"{""age"": ""9 weeks"", ""genotype"": ""SCA7 266Q/5Q"", ""tissue"": ""Cervical spinal cord""}"	9 weeks	SCA7 266Q/5Q	Cervical spinal cord
GSE271392	GSM8376057	SRR29690398	SRX25193456	Mus musculus	paired	Medulla_9wk_SCA7_4	Medulla	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR029/29690/SRR29690398/SRR29690398.lite.1			"{""age"": ""9 weeks"", ""genotype"": ""SCA7 266Q/5Q"", ""tissue"": ""Medulla""}"	9 weeks	SCA7 266Q/5Q	Medulla
